figure_id,panel,scenario,selector_resolution_ratio_sqrt_epsilon_over_dx,epsilon,lattice_spacing,alignment_offset_cells,requested_domain_halfwidth,realised_domain_halfwidth,grid_nodes,moment_ratio,effective_response_rate,aggregation_scale,mechanism,normalized_correlation,lower_envelope,upper_envelope,software_version
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,17.11328304161781,coupling,0.9415658608226907,0.927333793439319,0.9415658608226907,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,17.78279410038923,coupling,0.9437658685451832,0.9300695998713141,0.9437658685451832,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,18.478497974222908,coupling,0.9458830478561215,0.9327024178676544,0.9458830478561215,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,19.20141938638801,coupling,0.9479205169526046,0.9352361196272476,0.9479205169526046,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,19.952623149688787,coupling,0.9498812767455871,0.9376744335917127,0.9498812767455871,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,20.73321573485954,coupling,0.9517682152253611,0.9400209491175184,0.9517682152253611,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,21.54434690031882,coupling,0.9535841116842931,0.9422791212238517,0.9535841116842931,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,22.38721138568338,coupling,0.9553316407933634,0.9444522753354084,0.9553316407933634,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,23.263050671536238,coupling,0.9570133765325681,0.9465436119634998,0.9570133765325681,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,24.173154808041012,coupling,0.9586317959774283,0.9485562112875504,0.9586317959774283,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,25.11886431509582,coupling,0.9601892829451413,0.9504930376130215,0.9601892829451413,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,26.101572156825384,coupling,0.961688131504604,0.9523569436918695,0.961688131504604,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,27.122725793320296,coupling,0.9631305493548655,0.9541506748986727,0.9631305493548655,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,28.183829312644548,coupling,0.9645186610766628,0.95587687326027,0.9645186610766628,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,29.28644564625237,coupling,0.9658545112616705,0.957538081339793,0.9658545112616705,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,30.432198871077222,coupling,0.9671400675239954,0.9591367459778294,0.9671400675239954,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,31.622776601683793,coupling,0.9683772233983168,0.9606752218945293,0.9683772233983168,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,32.85993247600654,coupling,0.9695678011289229,0.9621557751570188,0.9695678011289229,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,34.145488738336006,coupling,0.9707135543537476,0.9635805865167284,0.9707135543537476,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,35.481338923357534,coupling,0.9718161706873555,0.9649517546212952,0.9718161706873555,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,36.869450645195734,coupling,0.9728772742066797,0.9662712991056402,0.9728772742066797,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,38.31186849557285,coupling,0.9738984278431746,0.9675411635667162,0.9738984278431746,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,39.81071705534969,coupling,0.9748811356849042,0.9687632184262753,0.9748811356849042,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,41.36820402388503,coupling,0.975826845191959,0.9699392636858655,0.975826845191959,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,42.98662347082272,coupling,0.9767369493284637,0.9710710315781048,0.9767369493284637,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,44.668359215096345,coupling,0.9776127886143167,0.9721601891181387,0.9776127886143167,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,46.41588833612782,coupling,0.9784556530996812,0.9732083405590364,0.9784556530996812,1.0.0
