snapshot_index,operational_step,operational_time_model_units,time_seconds,grid_index,log_price_coordinate,book_1_density,book_2_density,book_1_boundary_log_price,book_2_boundary_log_price,initial_book_displacement,clock,software_version
0,0,0.0,0.0,73,-2.6999999999999993,1.4213123461330255,1.3970506772183977,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,74,-2.5999999999999996,1.401366796401986,1.3739551999351023,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,75,-2.5,1.3787976980696006,1.3481933370588772,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,76,-2.3999999999999995,1.3535682875865622,1.3197391720481155,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,77,-2.3,1.3256507887630882,1.2885765279039005,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,78,-2.1999999999999993,1.2950270464474312,1.2546995436566208,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,79,-2.0999999999999996,1.2616891133143548,1.218113194049932,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,80,-2.0,1.2256397814423907,1.1788337444469181,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,81,-1.9000000000000004,1.1868930506342539,1.136889133411792,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,82,-1.799999999999999,1.1454745258384709,1.092319275975964,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,83,-1.6999999999999993,1.101421736561379,1.0451762812763097,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,84,-1.5999999999999996,1.0547843718141883,0.9955245790500163,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,85,-1.5,1.0056244249142348,0.9434409503762148,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,86,-1.4000000000000004,0.954016243345092,0.8890144590590463,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,87,-1.299999999999999,0.9000464798666084,0.832346281137021,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,88,-1.1999999999999993,0.8438139421407941,0.7735494311647187,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,89,-1.0999999999999996,0.7854293392883278,0.7127483851283845,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,90,-1.0,0.725014924996976,0.650078601108727,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,91,-0.9000000000000004,0.6627040380496007,0.5856859400729492,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,92,-0.7999999999999989,0.5986405424065788,0.5197259904436176,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,93,-0.6999999999999993,0.5329781702454013,0.45236330133394304,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,94,-0.5999999999999996,0.46587977260852464,0.38377053053681187,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,95,-0.5,0.39751648351860314,0.3141275144883662,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,96,-0.3999999999999986,0.3280668045678129,0.24362026847673246,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,97,-0.29999999999999893,0.2577156180555495,0.17243992631448357,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,98,-0.1999999999999993,0.18665313771793002,0.10078162952306334,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,99,-0.09999999999999964,0.11507380694638386,0.028843376774094605,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,100,0.0,0.04317515511614934,-0.043175155116119156,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,101,0.10000000000000142,-0.02884337677406479,-0.11507380694635327,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,102,0.20000000000000107,-0.10078162952303314,-0.18665313771789982,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,103,0.3000000000000007,-0.1724399263144534,-0.25771561805551935,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,104,0.40000000000000036,-0.24362026847670196,-0.32806680456778314,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,105,0.5,-0.314127514488336,-0.39751648351857294,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,106,0.6000000000000014,-0.383770530536782,-0.4658797726084941,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,107,0.7000000000000011,-0.45236330133391284,-0.5329781702453711,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,108,0.8000000000000007,-0.5197259904435869,-0.5986405424065488,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,109,0.9000000000000004,-0.5856859400729185,-0.6627040380495709,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,110,1.0,-0.6500786011086971,-0.7250149249969454,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,111,1.1000000000000014,-0.7127483851283546,-0.7854293392882971,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,112,1.200000000000001,-0.7735494311646884,-0.8438139421407638,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,113,1.3000000000000007,-0.8323462811369903,-0.9000464798665783,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
