experiment,schedule_id,impact_type,measurement_domain,x_coordinate,x_value,mean_signed_log_mid_impact,standard_error,active_observation_fraction,software_version
meta_order_relaxation,fast,cross,mittag_leffler_previous_refresh,post_completion_lag_seconds,120.0,0.06076684164386612,0.005936621513048993,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,mittag_leffler_previous_refresh,post_completion_lag_seconds,160.0,0.060092320779702606,0.004207143911436618,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,mittag_leffler_previous_refresh,post_completion_lag_seconds,200.0,0.05701667319020918,0.0038409938830626946,see_archive,2.1.0-r13
meta_order_trajectory,fast,cross,tempered_mittag_leffler_previous_refresh,cumulative_quantity,0.05,0.0,0.0,see_archive,2.1.0-r13
meta_order_trajectory,fast,cross,tempered_mittag_leffler_previous_refresh,cumulative_quantity,0.1,0.0016645329543129982,0.0004267406859706723,see_archive,2.1.0-r13
meta_order_trajectory,fast,cross,tempered_mittag_leffler_previous_refresh,cumulative_quantity,0.15000000000000002,0.00793359811081423,0.0020120568774063766,see_archive,2.1.0-r13
meta_order_trajectory,fast,cross,tempered_mittag_leffler_previous_refresh,cumulative_quantity,0.2,0.011882639922748286,0.002690126104453253,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,0.0,0.011882639922748286,0.002690126104453253,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,5.0,0.01939065332168651,0.0034107465271813395,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,10.0,0.02800311815651701,0.005690606430080199,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,20.0,0.04525687110584315,0.006267154136042731,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,40.0,0.06109233444678751,0.006448036279748414,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,80.0,0.06944716084894009,0.004208938397018874,see_archive,2.1.0-r13
