measurement_domain,observable,lag_index,lag_seconds,mean_autocorrelation,standard_error_across_paths,normal_95_lower,normal_95_upper,effective_pairs_per_book_member,software_version
previous_refresh_calendar,absolute_log_mid_increment,29,145.0,-0.008764937435303889,0.008638895912297218,-0.02569717342340643,0.008167298552798656,500,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,30,150.0,0.01166405902934645,0.008830140113133714,-0.00564301559239563,0.02897113365108853,499,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,31,155.0,0.0003215927532004446,0.0064823284791176786,-0.012383771065870207,0.013026956572271094,498,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,32,160.0,0.005220519151514768,0.008905534901352919,-0.012234329255136954,0.022675367558166487,497,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,33,165.0,-0.015073562072719784,0.005295863499143257,-0.025453454531040566,-0.004693669614399001,496,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,34,170.0,0.0009154001468765788,0.007100884732946279,-0.013002333929698129,0.014833134223451287,495,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,35,175.0,-0.003839680589327276,0.005171796522203549,-0.01397640177284623,0.006297040594191679,494,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,36,180.0,0.0005448884093036004,0.009588191040771972,-0.018247966030609464,0.019337742849216667,493,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,37,185.0,-0.0076997540737975875,0.008684191293847815,-0.024720769009739303,0.00932126086214413,492,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,38,190.0,0.002657462298237265,0.009848096629716906,-0.016644807096007873,0.0219597316924824,491,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,39,195.0,0.008098699870960064,0.007662959431626297,-0.006920700615027477,0.023118100356947606,490,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,40,200.0,-0.005259785184342192,0.0074601664941269085,-0.019881711512830934,0.009362141144146548,489,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,0,0.0,1.0,0.0,1.0,1.0,529,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,1,5.0,0.02960454622587252,0.004810226890992937,0.020176501519526366,0.039032590932218676,528,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,2,10.0,0.041570763664140205,0.0036604895740394486,0.03439620409902289,0.04874532322925752,527,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,3,15.0,0.04991311255005847,0.00672677156929688,0.036728640274236585,0.06309758482588035,526,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,4,20.0,0.040061955907375046,0.005710764895979887,0.02886885671125447,0.05125505510349562,525,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,5,25.0,0.0380987361583296,0.005846057837238127,0.026640462797342872,0.049557009519316325,524,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,6,30.0,0.023222354193633818,0.007429438496353561,0.00866065474078084,0.03778405364648679,523,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,7,35.0,0.031199185660359032,0.009591873736658858,0.01239911313650767,0.049999258184210395,522,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,8,40.0,0.025686375000565757,0.007065871771479616,0.01183726632846571,0.0395354836726658,521,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,9,45.0,0.020482493078251,0.005809841751086916,0.009095203246120644,0.03186978291038135,520,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,10,50.0,-0.00034623735870855906,0.005973317693963382,-0.012053940038876788,0.01136146532145967,519,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,11,55.0,0.002666166903032395,0.004320796025115749,-0.0058025933061944725,0.011134927112259262,518,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,12,60.0,-0.017878034215483174,0.008272501741940245,-0.034092137629686055,-0.001663930801280293,517,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,13,65.0,-0.012263125741767399,0.011525445679827977,-0.03485299927423023,0.010326747790695435,516,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,14,70.0,-0.009232701388415764,0.011002800165158162,-0.03079818971212576,0.012332786935294233,515,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,15,75.0,-0.01012854835547928,0.005550287330034576,-0.02100711152234705,0.0007500148113884879,514,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,16,80.0,-0.019076654615164237,0.008320087844830905,-0.03538402679103281,-0.0027692824392956637,513,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,17,85.0,-0.012069785028981771,0.007252578333808008,-0.02628483856324547,0.0021452685052819245,512,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,18,90.0,-0.013685617784798687,0.0062683322039247475,-0.02597154890449119,-0.0013996866651061826,511,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,19,95.0,-0.025451996740932483,0.008837688517940956,-0.042773866236096754,-0.008130127245768212,510,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,20,100.0,-0.017785550596937424,0.008257483988926987,-0.03397021921523431,-0.0016008819786405316,509,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,21,105.0,0.009573608582170358,0.007841623672142091,-0.00579597381522814,0.024943190979568854,508,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,22,110.0,0.004929046606213719,0.0104186424557871,-0.015491492607128997,0.025349585819556437,507,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,23,115.0,-0.0129200737149895,0.008864837426240073,-0.030295155070420042,0.004455007640441043,506,2.1.0
previous_refresh_calendar,declared_aggressor_signed_flow,24,120.0,-0.017655551834713457,0.006583641718301805,-0.03055948960258499,-0.00475161406684192,505,2.1.0
