meta_order_id,schedule_id,path_index,event_book,side,child_index,operational_step,operational_time_seconds,quantity,cumulative_quantity,filled_quantity,pre_event_mid_log_price,execution_log_price_proxy,affected_grid_indices,applied_density_mass,software_version
v182-slow-p03-b1-s-1,slow,3,0,-1,1,341,170.5,0.05,0.1,0.05,-0.03801780985578273,-0.292836912734576,"[99, 98, 97, 96]",0.05,1.8.2
v182-slow-p03-b1-s-1,slow,3,0,-1,2,381,190.5,0.05,0.15000000000000002,0.05,-0.05824376031490162,-0.31106467086493955,"[99, 98, 97, 96]",0.05,1.8.2
v182-slow-p03-b1-s-1,slow,3,0,-1,3,421,210.5,0.05,0.2,0.05,-0.083405218261731,-0.34023042854012114,"[99, 98, 97, 96, 95]",0.05,1.8.2
v182-slow-p03-b1-s+1,slow,3,0,1,0,301,150.5,0.05,0.05,0.05,0.0019455735267252536,0.2579890289131134,"[101, 102, 103, 104]",0.05,1.8.2
v182-slow-p03-b1-s+1,slow,3,0,1,1,341,170.5,0.05,0.1,0.05,0.046124148481224425,0.29968378926422135,"[101, 102, 103, 104]",0.05,1.8.2
v182-slow-p03-b1-s+1,slow,3,0,1,2,381,190.5,0.05,0.15000000000000002,0.05,0.07723669172087445,0.33072131464800103,"[101, 102, 103, 104, 105]",0.05,1.8.2
v182-slow-p03-b1-s+1,slow,3,0,1,3,421,210.5,0.05,0.2,0.05,0.09061769422802961,0.3500631763888987,"[101, 102, 103, 104, 105]",0.05,1.8.2
v182-slow-p03-b2-s-1,slow,3,1,-1,0,301,150.5,0.05,0.05,0.05,-0.0016000668572889176,-0.2576930664802394,"[99, 98, 97, 96]",0.05,1.8.2
v182-slow-p03-b2-s-1,slow,3,1,-1,1,341,170.5,0.05,0.1,0.05,-0.04104847632250853,-0.2954097263464364,"[99, 98, 97, 96]",0.05,1.8.2
v182-slow-p03-b2-s-1,slow,3,1,-1,2,381,190.5,0.05,0.15000000000000002,0.05,-0.06139320814075241,-0.31366628308579253,"[99, 98, 97, 96]",0.05,1.8.2
v182-slow-p03-b2-s-1,slow,3,1,-1,3,421,210.5,0.05,0.2,0.05,-0.08050557238309503,-0.33624417699676845,"[99, 98, 97, 96, 95]",0.05,1.8.2
v182-slow-p03-b2-s+1,slow,3,1,1,0,301,150.5,0.05,0.05,0.05,-0.0016000668572889176,0.25402119508393667,"[100, 101, 102, 103, 104]",0.05000000000000001,1.8.2
v182-slow-p03-b2-s+1,slow,3,1,1,1,341,170.5,0.05,0.1,0.05,0.04310855837705324,0.2971375200153451,"[101, 102, 103, 104]",0.05,1.8.2
v182-slow-p03-b2-s+1,slow,3,1,1,2,381,190.5,0.05,0.15000000000000002,0.05,0.07407474011571405,0.3263695539866255,"[101, 102, 103, 104, 105]",0.05000000000000001,1.8.2
v182-slow-p03-b2-s+1,slow,3,1,1,3,421,210.5,0.05,0.2,0.05,0.09359017427756097,0.3540636067300096,"[101, 102, 103, 104, 105]",0.05,1.8.2
v182-fast-p04-b1-s-1,fast,4,0,-1,0,301,150.5,0.05,0.05,0.05,0.004268437475811073,-0.25019154596532217,"[100, 99, 98, 97, 96]",0.05,1.8.2
v182-fast-p04-b1-s-1,fast,4,0,-1,1,311,155.5,0.05,0.1,0.05,-0.08076324169307414,-0.3478679056195999,"[99, 98, 97, 96, 95]",0.05,1.8.2
v182-fast-p04-b1-s-1,fast,4,0,-1,2,321,160.5,0.05,0.15000000000000002,0.05,-0.14395110788827598,-0.4152402447818494,"[98, 97, 96, 95]",0.05,1.8.2
v182-fast-p04-b1-s-1,fast,4,0,-1,3,331,165.5,0.05,0.2,0.05,-0.20278107047246893,-0.48358805917159353,"[97, 96, 95, 94]",0.05,1.8.2
v182-fast-p04-b1-s+1,fast,4,0,1,0,301,150.5,0.05,0.05,0.05,0.004268437475811073,0.25998718033081913,"[101, 102, 103, 104]",0.05,1.8.2
v182-fast-p04-b1-s+1,fast,4,0,1,1,311,155.5,0.05,0.1,0.05,0.08932123590100932,0.35898086380639666,"[101, 102, 103, 104, 105]",0.05,1.8.2
v182-fast-p04-b1-s+1,fast,4,0,1,2,321,160.5,0.05,0.15000000000000002,0.05,0.15052250040956072,0.42060102712428576,"[102, 103, 104, 105]",0.05,1.8.2
v182-fast-p04-b1-s+1,fast,4,0,1,3,331,165.5,0.05,0.2,0.05,0.19962962463794537,0.4802645755595039,"[102, 103, 104, 105, 106]",0.05,1.8.2
v182-fast-p04-b2-s-1,fast,4,1,-1,0,301,150.5,0.05,0.05,0.05,0.010037942177333146,-0.24191125250067988,"[100, 99, 98, 97, 96]",0.05,1.8.2
v182-fast-p04-b2-s-1,fast,4,1,-1,1,311,155.5,0.05,0.1,0.05,-0.07273635813582265,-0.33683759929086815,"[99, 98, 97, 96, 95]",0.05,1.8.2
v182-fast-p04-b2-s-1,fast,4,1,-1,2,321,160.5,0.05,0.15000000000000002,0.05,-0.1311067515773779,-0.4045193284629534,"[98, 97, 96, 95]",0.05,1.8.2
v182-fast-p04-b2-s-1,fast,4,1,-1,3,331,165.5,0.05,0.2,0.05,-0.1770856802586347,-0.4544640692713382,"[98, 97, 96, 95, 94]",0.05,1.8.2
v182-fast-p04-b2-s+1,fast,4,1,1,0,301,150.5,0.05,0.05,0.05,0.010037942177333146,0.2649489381192179,"[101, 102, 103, 104]",0.05,1.8.2
v182-fast-p04-b2-s+1,fast,4,1,1,1,311,155.5,0.05,0.1,0.05,0.09803678004257013,0.3697182531431674,"[101, 102, 103, 104, 105]",0.05,1.8.2
v182-fast-p04-b2-s+1,fast,4,1,1,2,321,160.5,0.05,0.15000000000000002,0.05,0.1641455661815538,0.43576118667983776,"[102, 103, 104, 105, 106]",0.05,1.8.2
v182-fast-p04-b2-s+1,fast,4,1,1,3,331,165.5,0.05,0.2,0.05,0.22062093822882575,0.4998903411351766,"[103, 104, 105, 106]",0.05000000000000001,1.8.2
v182-slow-p04-b1-s-1,slow,4,0,-1,0,301,150.5,0.05,0.05,0.05,0.004268437475811073,-0.25019154596532217,"[100, 99, 98, 97, 96]",0.05,1.8.2
v182-slow-p04-b1-s-1,slow,4,0,-1,1,341,170.5,0.05,0.1,0.05,-0.04414197468229139,-0.297978959124403,"[99, 98, 97, 96]",0.05,1.8.2
